Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N6_p30_20250627_002216,727,729,731,727,,,,,,,338,275,338,338,,,,,,,4891,8949,9754,21122,,,,,,,2914,1289,44716,ok
N6_p30_20250627_002528,727,729,728,,,,,,,,275,275,32,,,,,,,,7290,12923,3218,,,,,,,,2184,582,23431,ok
N6_p30_20250627_003258,727,729,728,725,,,,,,,275,275,338,338,,,,,,,8953,7494,16451,19022,,,,,,,2909,1226,51920,fail
N6_p30_20250627_005450,727,729,729,727,,,,,,,275,270,275,275,,,,,,,6172,17987,10311,25328,,,,,,,2912,1095,59798,ok
N6_p30_20250627_004610,727,729,728,731,,,,,,,275,338,338,338,,,,,,,11244,14980,12135,16007,,,,,,,2915,1289,54366,ok
N6_p30_20250627_005819,727,729,728,,,,,,,,338,274,32,,,,,,,,9898,10956,4806,,,,,,,,2184,644,25660,ok
N6_p30_20250627_010413,727,728,727,727,,,,,,,338,338,338,68,,,,,,,7226,18522,14066,3140,,,,,,,2909,1082,42954,ok
N6_p30_20250627_010722,727,729,728,,,,,,,,275,275,32,,,,,,,,8923,10507,3886,,,,,,,,2184,582,23316,ok
N7_p60_20250627_011253,735,736,735,,,,,,,,545,668,68,,,,,,,,10047,16495,12784,,,,,,,,2206,1281,39326,ok
N7_p60_20250627_012122,735,736,735,,,,,,,,668,668,571,,,,,,,,9561,25274,22177,,,,,,,,2206,1907,57012,fail
N7_p60_20250627_012840,735,736,735,733,,,,,,,545,545,668,668,,,,,,,6303,13023,13501,19509,,,,,,,2939,2426,52336,fail
N7_p60_20250627_013152,735,736,735,,,,,,,,545,668,68,,,,,,,,5938,14940,3333,,,,,,,,2206,1281,24211,ok
N7_p60_20250627_013539,735,736,,,,,,,,,668,668,,,,,,,,,9297,18372,,,,,,,,,1471,1336,27669,fail
N8_p100_20250627_013924,744,743,,,,,,,,,887,1108,,,,,,,,,8061,19120,,,,,,,,,1487,1995,27181,fail
N8_p100_20250627_014615,744,746,746,,,,,,,,900,1108,613,,,,,,,,11701,21670,16686,,,,,,,,2236,2621,50057,ok
N8_p100_20250627_015048,744,746,,,,,,,,,905,1097,,,,,,,,,12937,20124,,,,,,,,,1490,2002,33061,fail
N8_p100_20250627_015558,744,746,,,,,,,,,905,1108,,,,,,,,,10695,25562,,,,,,,,,1490,2013,36257,fail
N8_p100_20250627_020047,744,746,,,,,,,,,905,1108,,,,,,,,,9600,25066,,,,,,,,,1490,2013,34666,fail
